pf,0F,po,so,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes                                        "
,,80,,5,,,,,L,SUB,r/m8,imm8,,,,,o..szapc,o..szapc,,,Subtract
,,80,,6,,,,,L,XOR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,80,,7,,,,,,CMP,r/m8,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,81,,0,,,,,L,ADD,r/m16/32,imm16/32,,,,,o..szapc,o..szapc,,,Add
,,81,,1,,,,,L,OR,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,81,,2,,,,,L,ADC,r/m16/32,imm16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,81,,3,,,,,L,SBB,r/m16/32,imm16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,81,,4,,,,,L,AND,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,81,,5,,,,,L,SUB,r/m16/32,imm16/32,,,,,o..szapc,o..szapc,,,Subtract
,,81,,6,,,,,L,XOR,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,81,,7,,,,,,CMP,r/m16/32,imm16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,82,,0,,,,,L,ADD,r/m8,imm8,,,,,o..szapc,o..szapc,,,Add
,,82,,1,,,,,L,OR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,82,,2,,,,,L,ADC,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,82,,3,,,,,L,SBB,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,82,,4,,,,,L,AND,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,82,,5,,,,,L,SUB,r/m8,imm8,,,,,o..szapc,o..szapc,,,Subtract
,,82,,6,,,,,L,XOR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,82,,7,,,,,,CMP,r/m8,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,83,,0,,,,,L,ADD,r/m16/32,imm8,,,,,o..szapc,o..szapc,,,Add
,,83,,1,03+,,,,L,OR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,83,,2,,,,,L,ADC,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,83,,3,,,,,L,SBB,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,83,,4,03+,,,,L,AND,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,83,,5,,,,,L,SUB,r/m16/32,imm8,,,,,o..szapc,o..szapc,,,Subtract
,,83,,6,03+,,,,L,XOR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,83,,7,,,,,,CMP,r/m16/32,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,84,,r,,,,,,TEST,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,85,,r,,,,,,TEST,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,86,,r,,,,,L,XCHG,r8,r/m8,,,,,,,,,Exchange Register/Memory with Register
,,87,,r,,,,,L,XCHG,r16/32,r/m16/32,,,,,,,,,Exchange Register/Memory with Register
,,88,,r,,,,,,MOV,r/m8,r8,,,,,,,,,Move
,,89,,r,,,,,,MOV,r/m16/32,r16/32,,,,,,,,,Move
,,8A,,r,,,,,,MOV,r8,r/m8,,,,,,,,,Move
,,8B,,r,,,,,,MOV,r16/32,r/m16/32,,,,,,,,,Move
,,8C,,r,,,,,,MOV,m16,Sreg,,,,,,,,,Move
,,,,,,,,,,MOV,r16/32,Sreg,,,,,,,,,
,,8D,,r,,,,,,LEA,r16/32,m,,,,,,,,,Load Effective Address
,,8E,,r,,,,,,MOV,Sreg,r/m16,,,,,,,,,Move
,,8F,,0,,,,,,POP,r/m16/32,,,,,,,,,,Pop a Value from the Stack
,,90+r,,,,,,,,XCHG,r16/32,eAX,,,,,,,,,Exchange Register/Memory with Register
,,90,,,,D1,,,,NOP,,,,,,,,,,,No Operation
F3,,90,,,P4+,,,,,PAUSE,,,,,sse2,,,,,,Spin Loop Hint
,,98,,,,,,,,CBW,AX,AL,,,,,,,,,Convert Byte to Word
,,98,,,03+,,,,,CWDE,EAX,AX,,,,,,,,,Convert Word to Doubleword
,,99,,,,,,,,CWD,DX,AX,,,,,,,,,Convert Word to Doubleword
,,99,,,03+,,,,,CDQ,EDX,EAX,,,,,,,,,Convert Doubleword to Quadword
,,9A,,,,,,,,CALLF,ptr16:16/32,,,,,,,,,,Call Procedure
,,9B,,,,,,,,FWAIT,,,,,,,123,,123,,Check pending unmasked floating-point exceptions
,,,,,,,,,,WAIT,,,,,,,,,,,
9B,,,,,,,,,,no mnemonic,,,,,,,123,,123,,Wait Prefix
,,9C,,,,,,,,PUSHF,Flags,,,,,,,,,,Push FLAGS Register onto the Stack
,,9C,,,03+,,,,,PUSHFD,EFlags,,,,,,,,,,Push eFLAGS Register onto the Stack
,,9D,,,,,,,,POPF,Flags,,,,,,,,,,Pop Stack into FLAGS Register
,,9D,,,03+,,,,,POPFD,EFlags,,,,,,,,,,Pop Stack into eFLAGS Register
,,9E,,,,,,,,SAHF,AH,,,,,,...szapc,...szapc,,,Store AH into Flags
,,9F,,,,,,,,LAHF,AH,,,,,...szapc,,,,,Load Status Flags into AH Register
,,A0,,,,,,,,MOV,AL,moffs8,,,,,,,,,Move
,,A1,,,,,,,,MOV,eAX,moffs16/32,,,,,,,,,Move
,,A2,,,,,,,,MOV,moffs8,AL,,,,,,,,,Move
,,A3,,,,,,,,MOV,moffs16/32,eAX,,,,,,,,,Move
,,A4,,,,,,,,MOVS,m8,m8,,,,.d......,,,,,Move Data from String to String
,,,,,,,,,,MOVSB,m8,m8,,,,,,,,,
,,A5,,,,,,,,MOVS,m16,m16,,,,.d......,,,,,Move Data from String to String
,,,,,,,,,,MOVSW,m16,m16,,,,,,,,,
,,A5,,,03+,,,,,MOVS,m16/32,m16/32,,,,.d......,,,,,Move Data from String to String
,,,,,,,,,,MOVSD,m32,m32,,,,,,,,,
,,A6,,,,,,,,CMPS,m8,m8,,,,.d......,o..szapc,o..szapc,,,Compare String Operands
,,,,,,,,,,CMPSB,m8,m8,,,,,,,,,
,,A7,,,,,,,,CMPS,m16,m16,,,,.d......,o..szapc,o..szapc,,,Compare String Operands
,,,,,,,,,,CMPSW,m16,m16,,,,,,,,,
,,A7,,,03+,,,,,CMPS,m16/32,m16/32,,,,.d......,o..szapc,o..szapc,,,Compare String Operands
,,,,,,,,,,CMPSD,m32,m32,,,,,,,,,
,,A8,,,,,,,,TEST,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,A9,,,,,,,,TEST,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,AA,,,,,,,,STOS,m8,AL,,,,.d......,,,,,Store String
,,,,,,,,,,STOSB,m8,AL,,,,,,,,,
,,AB,,,,,,,,STOS,m16,AX,,,,.d......,,,,,Store String
,,,,,,,,,,STOSW,m16,AX,,,,,,,,,
,,AB,,,03+,,,,,STOS,m16/32,eAX,,,,.d......,,,,,Store String
,,,,,,,,,,STOSD,m32,EAX,,,,,,,,,
,,AC,,,,,,,,LODS,AL,m8,,,,.d......,,,,,Load String
,,,,,,,,,,LODSB,AL,m8,,,,,,,,,
,,AD,,,,,,,,LODS,AX,m16,,,,.d......,,,,,Load String
,,,,,,,,,,LODSW,AX,m16,,,,,,,,,
,,AD,,,03+,,,,,LODS,eAX,m16/32,,,,.d......,,,,,Load String
,,,,,,,,,,LODSD,EAX,m32,,,,,,,,,
,,AE,,,,,,,,SCAS,m8,AL,,,,.d......,o..szapc,o..szapc,,,Scan String
,,,,,,,,,,SCASB,m8,AL,,,,,,,,,
,,AF,,,,,,,,SCAS,m16,AX,,,,.d......,o..szapc,o..szapc,,,Scan String
,,,,,,,,,,SCASW,m16,AX,,,,,,,,,
,,AF,,,03+,,,,,SCAS,m16/32,eAX,,,,.d......,o..szapc,o..szapc,,,Scan String
,,,,,,,,,,SCASD,m32,EAX,,,,,,,,,
,,B0+r,,,,,,,,MOV,r8,imm8,,,,,,,,,Move
,,B8+r,,,,,,,,MOV,r16/32,imm16/32,,,,,,,,,Move
,,C0,,0,01+,,,,,ROL,r/m8,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
,,C0,,1,01+,,,,,ROR,r/m8,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
,,C0,,2,01+,,,,,RCL,r/m8,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C0,,3,01+,,,,,RCR,r/m8,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C0,,4,01+,,,,,SHL,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SAL,r/m8,imm8,,,,,,,,,
,,C0,,5,01+,,,,,SHR,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,C0,,6,01+,U2,,,,SAL,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SHL,r/m8,imm8,,,,,,,,,
,,C0,,7,01+,,,,,SAR,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a..,,Shift
,,C1,,0,01+,,,,,ROL,r/m16/32,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
,,C1,,1,01+,,,,,ROR,r/m16/32,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
,,C1,,2,01+,,,,,RCL,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C1,,3,01+,,,,,RCR,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C1,,4,01+,,,,,SHL,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SAL,r/m16/32,imm8,,,,,,,,,
,,C1,,5,01+,,,,,SHR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,C1,,6,01+,U2,,,,SAL,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SHL,r/m16/32,imm8,,,,,,,,,
,,C1,,7,01+,,,,,SAR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a..,,Shift
,,C2,,,,,,,,RETN,imm16,,,,,,,,,,Return from procedure
,,C3,,,,,,,,RETN,,,,,,,,,,,Return from procedure
,,C4,,r,,,,,,LES,ES,r16/32,m16:16/32,,,,,,,,Load Far Pointer
,,C5,,r,,,,,,LDS,DS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
,,C6,,0,,,,,,MOV,r/m8,imm8,,,,,,,,,Move
,,C7,,0,,,,,,MOV,r/m16/32,imm16/32,,,,,,,,,Move
,,C8,,,01+,,,,,ENTER,eBP,imm16,imm8,,,,,,,,Make Stack Frame for Procedure Parameters
,,C9,,,01+,,,,,LEAVE,eBP,,,,,,,,,,High Level Procedure Exit
,,CA,,,,,,f,,RETF,imm16,,,,,,,,,,Return from procedure
,,CB,,,,,,f,,RETF,,,,,,,,,,,Return from procedure
,,CC,,,,,,f,,INT,3,eFlags,,,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,CD,,,,,,f,,INT,imm8,eFlags,,,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,CE,,,,,,f,,INTO,eFlags,,,,,o.......,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,CF,,,,,,f,,IRET,Flags,,,,,,,,,,Interrupt Return
,,CF,,,03+,,,f,,IRETD,EFlags,,,,,,,,,,Interrupt Return
,,D0,,0,,,,,,ROL,r/m8,1,,,,,o..szapc,o..szapc,,,Rotate
,,D0,,1,,,,,,ROR,r/m8,1,,,,,o..szapc,o..szapc,,,Rotate
,,D0,,2,,,,,,RCL,r/m8,1,,,,.......c,o..szapc,o..szapc,,,Rotate
,,D0,,3,,,,,,RCR,r/m8,1,,,,.......c,o..szapc,o..szapc,,,Rotate
,,D0,,4,,,,,,SHL,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,SAL,r/m8,1,,,,,,,,,
,,D0,,5,,,,,,SHR,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D0,,6,,U2,,,,SAL,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,SHL,r/m8,1,,,,,,,,,
,,D0,,7,,,,,,SAR,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D1,,0,,,,,,ROL,r/m16/32,1,,,,,o..szapc,o..szapc,,,Rotate
,,D1,,1,,,,,,ROR,r/m16/32,1,,,,,o..szapc,o..szapc,,,Rotate
,,D1,,2,,,,,,RCL,r/m16/32,1,,,,.......c,o..szapc,o..szapc,,,Rotate
,,D1,,3,,,,,,RCR,r/m16/32,1,,,,.......c,o..szapc,o..szapc,,,Rotate
,,D1,,4,,,,,,SHL,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,SAL,r/m16/32,1,,,,,,,,,
,,D1,,5,,,,,,SHR,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D1,,6,,U2,,,,SAL,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,SHL,r/m16/32,1,,,,,,,,,
,,D1,,7,,,,,,SAR,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D2,,0,,,,,,ROL,r/m8,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
,,D2,,1,,,,,,ROR,r/m8,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
,,D2,,2,,,,,,RCL,r/m8,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D2,,3,,,,,,RCR,r/m8,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D2,,4,,,,,,SHL,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SAL,r/m8,CL,,,,,,,,,
,,D2,,5,,,,,,SHR,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,D2,,6,,U2,,,,SAL,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SHL,r/m8,CL,,,,,,,,,
